local,rooms,price,area,restroom,status,kind,movel
" Albufeira e Olhos de Água, Albufeira, Faro",T2,490,82,2,Usado,apartamento,ferias
" Portimão, Faro",T1,245,55,1,Usado,apartamento,ferias
" Guia, Albufeira, Faro",T2,,120,2,,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,1453,70,1,118148 /AL,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,1313,80,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,1180,60,2,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,753,80,1,Renovado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T1,883,60,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,1033,80,2,Usado,apartamento,ferias
" Guia, Albufeira, Faro",T1,1793,70,1,Usado,apartamento,ferias
" Budens, Vila do Bispo, Faro",T2,500,"79,66",2,Renovado,apartamento,ferias
" Santa Luzia, Tavira, Faro",T0,650,30,1,Renovado,apartamento,ferias
" Quarteira, Loulé, Faro",T0,600,67,1,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T1,950,99,2,Novo,apartamento,ferias
" Conceição e Cabanas de Tavira, Tavira, Faro",T2,800,80,2,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T2,882,99,1,Usado,apartamento,ferias
" Portimão, Faro",T2,,78,1,31658 /AL,apartamento,ferias
" Quarteira, Loulé, Faro",T1,882,"52,10",1,Renovado,apartamento,ferias
" Quarteira, Loulé, Faro",T2,1200,"70,50",1,Renovado,apartamento,ferias
" São Gonçalo de Lagos, Lagos, Faro",T2,749,60,1,53185 /AL,apartamento,ferias
" Alvor, Portimão, Faro",T3,2200,94,2,Renovado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,412,101,2,85039 /AL,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,338,85,2,81318 /AL,apartamento,ferias
" Armação de Pêra, Silves, Faro",T3,331,130,2,97903 /AL,apartamento,ferias
" Alcantarilha e Pêra, Silves, Faro",T1,953,60,1,Usado,apartamento,ferias
" São Gonçalo de Lagos, Lagos, Faro",T1,425,60,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,,101,,"

",apartamento,ferias
" Portimão, Faro",T1,210,65,10096,"
",apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,,131,,"

",apartamento,ferias
" Quarteira, Loulé, Faro",T1,480,85,,,apartamento,ferias
" Quarteira, Loulé, Faro",T2,550,100,234566,"
                                                                                                        Particular                                                                                        ",apartamento,ferias
" Quarteira, Loulé, Faro",T3,1330,100,2,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T1,700,60,1,Renovado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T1,525,50,2,Renovado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T1,980,70,1,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T2,39970,90,2,Usado,apartamento,ferias
" Guia, Albufeira, Faro",T2,980,90,2,Renovado,apartamento,ferias
" São Gonçalo de Lagos, Lagos, Faro",T0,495,40,2,Usado,apartamento,ferias
" Portimão, Faro",T1,350,45,1,Renovado,apartamento,ferias
" Quarteira, Loulé, Faro",T2,6650,80,1,53914 /AL,apartamento,ferias
" Quarteira, Loulé, Faro",T2,7000,80,2,99205 /AL,apartamento,ferias
" Quarteira, Loulé, Faro",T2,525,93,2,Novo,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,29960,60,1,Usado,apartamento,ferias
" São Gonçalo de Lagos, Lagos, Faro",T2,595,135,2,Usado,apartamento,ferias
" Conceição e Cabanas de Tavira, Tavira, Faro",T1,210,45,2,Usado,apartamento,ferias
" Portimão, Faro",T1,210,65,1,Renovado,apartamento,ferias
" Almancil, Loulé, Faro",T2,580,110,2,Renovado,apartamento,ferias
" Portimão, Faro",T1,210,60,1,10868 /AL,apartamento,ferias
" Quarteira, Loulé, Faro",T1,679,60,1,26570 /AL,apartamento,ferias
" Quarteira, Loulé, Faro",T1,602,60,1,42401 /AL,apartamento,ferias
" Quarteira, Loulé, Faro",T2,700,111,,82028 /AL,apartamento,ferias
" Quarteira, Loulé, Faro",T2,980,80,2,99205 /AL,apartamento,ferias
" Quarteira, Loulé, Faro",T2,791,62,1,57188 /AL,apartamento,ferias
" Quarteira, Loulé, Faro",T1,5705,60,1,26570 /AL,apartamento,ferias
" Portimão, Faro",T0,245,45,1,Usado,apartamento,ferias
" Portimão, Faro",T0,210,40,1,Usado,apartamento,ferias
" Portimão, Faro",T0,245,40,1,Usado,apartamento,ferias
" Tavira (Santa Maria e Santiago), Tavira, Faro",T1,29960,50,1,Usado,apartamento,ferias
" São Gonçalo de Lagos, Lagos, Faro",T1,560,60,1,Renovado,apartamento,ferias
" Luz, Lagos, Faro",T0,340,"56,68",1,Renovado,apartamento,ferias
" Luz, Lagos, Faro",T0,340,"53,88",1,Renovado,apartamento,ferias
" Luz, Lagos, Faro",T0,340,"62,37",1,Renovado,apartamento,ferias
" São Gonçalo de Lagos, Lagos, Faro",T2,495,125,2,Usado,apartamento,ferias
" Luz, Lagos, Faro",T0,340,54,1,Renovado,apartamento,ferias
" Luz, Lagos, Faro",T1,240,62,1,Usado,apartamento,ferias
" São Gonçalo de Lagos, Lagos, Faro",T2,530,115,2,Usado,apartamento,ferias
" São Gonçalo de Lagos, Lagos, Faro",T1,375,105,1,Usado,apartamento,ferias
" São Gonçalo de Lagos, Lagos, Faro",T2,575,133,2,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,750,75,,88624 /AL,apartamento,ferias
" Quarteira, Loulé, Faro",T2,700,113,3,"

",apartamento,ferias
" Quarteira, Loulé, Faro",T2,700,111,3,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T2,700,114,3,"

",apartamento,ferias
" Quarteira, Loulé, Faro",T1,380,45,1,Usado,apartamento,ferias
" Santa Luzia, Tavira, Faro",T0,24990,40,1,Usado,apartamento,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T1,39970,50,1,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,29960,50,1,Novo,apartamento,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T1,24990,50,1,Usado,apartamento,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T2,44940,80,1,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T0,350,35,1,Renovado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T0,350,35,1,Renovado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T2,44940,70,2,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,24990,55,1,Usado,apartamento,ferias
" Altura, Castro Marim, Faro",T1,210,"54,89",1,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,265,42,1,Usado,apartamento,ferias
" Altura, Castro Marim, Faro",T2,300,"63,54",1,Usado,apartamento,ferias
" Altura, Castro Marim, Faro",T2,450,"57,44",1,Usado,apartamento,ferias
" Altura, Castro Marim, Faro",T2,300,"63,70",1,Usado,apartamento,ferias
" Altura, Castro Marim, Faro",T1,400,"54,72",1,Usado,apartamento,ferias
" Altura, Castro Marim, Faro",T2,300,"60,14",1,Usado,apartamento,ferias
" Altura, Castro Marim, Faro",T2,325,"65,51",1,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T2,350,65,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,710,80,2,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T2,525,65,1,Usado,apartamento,ferias
" Armação de Pêra, Silves, Faro",T1,295,60,,,apartamento,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T3,595,90,2,Usado,apartamento,ferias
