local,rooms,price,area,restroom,status,kind,movel
" Quarteira, Loulé, Faro",T9,9660,1000,4,Usado,moradia,ferias
" Almancil, Loulé, Faro",T4,3000,300,4,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T3,1120,200,3,Usado,moradia,ferias
" Almancil, Loulé, Faro",T4,1365,200,3,Usado,moradia,ferias
" Almancil, Loulé, Faro",T4,5460,350,4,Novo,moradia,ferias
" Almancil, Loulé, Faro",T6,9980,300,4,Usado,moradia,ferias
" Almancil, Loulé, Faro",T3,1050,200,4,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T4,1855,300,3,Usado,moradia,ferias
" Almancil, Loulé, Faro",T5,2275,300,4,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T5,1925,350,4,Usado,moradia,ferias
" Almancil, Loulé, Faro",T4,7000,200,4,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T7,7350,400,4,Usado,moradia,ferias
" Ferreiras, Albufeira, Faro",T4,1085,200,3,Usado,moradia,ferias
" Almancil, Loulé, Faro",T6,13690,450,4,Novo,moradia,ferias
" Almancil, Loulé, Faro",T3,1990,300,4,Usado,moradia,ferias
" Almancil, Loulé, Faro",T4,6400,350,4,Usado,moradia,ferias
" Almancil, Loulé, Faro",T3,980,250,3,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T4,1715,300,3,Usado,moradia,ferias
" Almancil, Loulé, Faro",T4,1645,200,4,Usado,moradia,ferias
" Almancil, Loulé, Faro",T5,2765,400,4,Usado,moradia,ferias
" Guia, Albufeira, Faro",T3,762,185,2,Renovado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T5,677,232,3,Renovado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,646,172,3,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,646,165,3,Usado,moradia,ferias
" Guia, Albufeira, Faro",T5,1295,330,4,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,650,160,3,Renovado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,750,165,3,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,606,165,3,Usado,moradia,ferias
" Boliqueime, Loulé, Faro",T3,546,175,4,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,1863,200,3,117022 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,3263,200,3,117275 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,2113,200,3,118360 /AL,moradia,ferias
" Guia, Albufeira, Faro",T2,1763,100,2,116049 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,3830,250,,114010 /AL,moradia,ferias
" Guia, Albufeira, Faro",T4,2593,170,,70268 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,1483,120,2,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T4,1500,200,4,Novo,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,1064,125,3,Novo,moradia,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T5,,250,3,Renovado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,800,97,,29390 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,610,130,2,Renovado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,826,190,3,Renovado,moradia,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T4,79940,250,3,Usado,moradia,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T3,1000,200,2,Usado,moradia,ferias
" Altura, Castro Marim, Faro",T3,750,145,3,Renovado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,646,165,4,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,646,172,3,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,750,160,2,20371 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,2183,200,3,115863 /AL,moradia,ferias
" Altura, Castro Marim, Faro",T3,1000,137,3,103692 /AL,moradia,ferias
" Porches, Lagoa (Algarve), Faro",T4,2313,246,,31491 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,595,290,3,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,749,310,3,Usado,moradia,ferias
" Guia, Albufeira, Faro",T2,1658,100,2,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,1662,300,,65839 /AL,moradia,ferias
" Silves, Faro",T4,2768,200,,31652 /AL,moradia,ferias
" São Gonçalo de Lagos, Lagos, Faro",T3,1250,135,3,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T4,1600,150,3,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T4,825,220,4,Usado,moradia,ferias
" Guia, Albufeira, Faro",T4,1058,220,3,65199 /AL,moradia,ferias
" São Gonçalo de Lagos, Lagos, Faro",T3,924,150,3,173 /AL,moradia,ferias
" Luz, Lagos, Faro",T3,1295,120,3,14894 /AL,moradia,ferias
" Portimão, Faro",T2,700,90,2,36809 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,742,156,3,110833 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,1029,200,3,1854 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,676,194,3,113823 /AL,moradia,ferias
" Paderne, Albufeira, Faro",T3,588,240,3,114011 /AL,moradia,ferias
" Quarteira, Loulé, Faro",T4,1272,148,3,108959 /AL,moradia,ferias
" São Clemente, Loulé, Faro",T3,588,200,4,91220 /AL,moradia,ferias
" Guia, Albufeira, Faro",T4,1323,230,4,16192 /AL,moradia,ferias
" Quarteira, Loulé, Faro",T2,575,138,4,23124 /AL,moradia,ferias
" São Gonçalo de Lagos, Lagos, Faro",T2,777,120,2,19173 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,707,144,3,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,975,100,3,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,,185,,"

",moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,890,108,3,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T4,2180,200,4,Renovado,moradia,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T4,700,150,3,Usado,moradia,ferias
" São Gonçalo de Lagos, Lagos, Faro",T4,835,145,2,Usado,moradia,ferias
" São Gonçalo de Lagos, Lagos, Faro",T2,1050,120,2,Usado,moradia,ferias
" São Gonçalo de Lagos, Lagos, Faro",T3,1050,170,2,Usado,moradia,ferias
" Castro Marim, Faro",T2,756,150,2,Novo,moradia,ferias
" Luz de Tavira e Santo Estêvão, Tavira, Faro",T1,350,45,1,Usado,moradia,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T2,29960,45,1,Usado,moradia,ferias
" Altura, Castro Marim, Faro",T3,750,"123,18",3,Usado,moradia,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T2,450,77,1,Usado,moradia,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T3,350,"108,38",3,Usado,moradia,ferias
" Luz, Lagos, Faro",T4,1365,180,3,19370 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,507,160,2,5963 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,691,120,2,28672 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,826,300,2,Usado,moradia,ferias
" São Gonçalo de Lagos, Lagos, Faro",T4,1505,200,4,114911 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T5,3932,320,4,75673 /AL,moradia,ferias
